,purpose_en,start_date,end_date,destination_en,airfare,other_transport,lodging,meals,other_expenses,total,additional_comments_en
33073,To attend a meeting,2017-05-15,2017-05-15,"Toronto, Ontario, Canada",0.0,351.43,0.0,0.0,0.0,351.43,Updated information received in Q2 of 2017/18
33085,Accompany the Minister,2017-05-31,2017-06-02,"Winnipeg, Manitoba, Canada",859.29,108.31,295.62,208.25,0.0,1471.47,The airfare amount is net of a travel credit of $619.38
33124,To attend the Social Enterprise and Accessibility meeting,2016-11-24,2016-11-27,"Vancouver, British Columbia, Canada",3446.61,201.49,419.49,274.1,0.0,4341.69,Transaction amended in Q4 to capture expenses of meals and incidentals of $194.10
33126,To attend the Service Delivery Roundtable meeting,2016-09-29,2016-09-30,"Saskatoon, Saskatchewan, Canada",2219.7,81.0,202.81,130.4,0.0,2633.91,Transaction amended in Q4 to capture reduction of $492.11 for airfare
33160,Consulting with Canadians on accessibility legislation ,2016-11-16,2016-11-17,"Montréal, Quebec, Canada",0.0,184.02,0.0,142.65,0.0,326.67,Transaction amended in Q4 to capture reduction of $5.65 for other transportation
33162,Regional visit,2016-10-23,2016-10-24,"Toronto, Ontario, Canada",330.21,153.5,207.65,80.1,0.0,771.46,Transaction amended in Q4 to allocate $17.00 from other expenses to other transportation 
33206,To attend the Directors Education Program ,2017-06-01,2017-06-04,"Toronto, Ontario, Canada",498.06,80.95,518.55,270.15,0.0,1367.71,Updated information received in Q2 of 2017/18
33228,To announce investment in social infrastructure; Meetings with stakeholders,2016-11-09,2016-11-09,"Toronto, Ontario, Canada",947.01,58.0,0.0,17.25,0.0,1022.26,New transaction captured only in Q4 2016-2017
33242,Accompany the Minister,2016-11-09,2016-11-09,"Toronto, Ontario, Canada",805.27,107.95,0.0,17.25,0.0,930.47,New transaction captured only in Q4 2016-2017
33244,To attend meetings ,2016-11-28,2016-11-28,"Ottawa, Ontario, Canada",0.0,236.52,0.0,0.0,0.0,236.52,New transaction captured only in Q4 2016-2017
33246,To attend a meeting with Restaurants Canada,2016-10-28,2016-11-22,"Toronto, Ontario, Canada",534.09,506.24,0.0,0.0,0.0,1040.33,New transaction captured only in Q4 2016-2017
33247,Meeting with stakeholders,2016-12-01,2016-12-02,"Winnipeg, Manitoba, Canada",696.4,68.0,152.54,159.95,0.0,1076.89,New transaction captured only in Q4 2016-2017
33248,To attend the Canadian Association of Administrators of Labour Legislation annual meeting ,2017-05-17,2017-05-18,"Winnipeg, Manitoba, Canada",462.71,114.62,176.19,126.5,0.0,880.02,Updated information received in Q2 of 2017/18
33251,To attend the Skills and Innovation Workshop,2016-11-28,2016-11-28,"Toronto, Ontario, Canada",666.13,68.28,0.0,79.8,0.0,814.21,New transaction captured only in Q4 2016-2017
33252,Cancelled trip,2016-11-17,2016-11-18,"Edmonton, Alberta, Canada",162.65,0.0,0.0,0.0,0.0,162.65,New transaction captured only in Q4 2016-2017
33253,Accompany the Minister,2016-11-23,2016-11-24,"Montréal, Quebec, Canada",0.0,99.64,141.62,62.55,0.0,303.81,New transaction captured only in Q4 2016-2017
33254,Accompany the Minister,2016-11-14,2016-11-24,"Ottawa, Ontario, Canada",982.15,26.94,0.0,0.0,0.0,1009.09,New transaction captured only in Q4 2016-2017
33255,Cancelled trip,2016-11-17,2016-11-18,"Edmonton, Alberta, Canada",161.71,0.0,0.0,0.0,0.0,161.71,New transaction captured only in Q4 2016-2017
33256,Meeting with Canadian Centre for Occupational Health and Safety ,2016-10-19,2016-10-20,"Hamilton, Ontario, Canada",485.11,0.0,0.0,0.0,0.0,485.11,New transaction captured only in Q4 2016-2017
33257,To attend meetings ,2016-10-18,2016-10-20,"Winnipeg, Manitoba, Canada",1186.5,93.0,283.8,228.75,0.0,1792.05,New transaction captured only in Q4 2016-2017
33260,Site visits,2016-11-24,2016-11-25,"Vancouver, Britsh Columbia, Canada",1282.31,106.0,233.82,97.15,0.0,1719.28,New transaction captured only in Q4 2016-2017
33262,To attend the Canada Pension Plan Disability Roundtable meeting,2016-10-31,2016-11-02,"Halifax, Nova Scotia, Canada",515.34,108.05,408.21,160.25,0.0,1191.85,New transaction captured only in Q4 2016-2017
33263,To attend meetings ,2016-11-07,2016-11-09,"Ottawa, Ontario, Canada",0.0,611.67,372.44,228.75,5.85,1218.71,New transaction captured only in Q4 2016-2017
33264,To attend the Deputy Ministers' Awards of Excellence and other national meetings,2016-11-28,2016-12-01,"Ottawa, Ontario, Canada",591.21,269.29,150.0,308.6,0.0,1319.1,New transaction captured only in Q4 2016-2017
33265,To attend meetings ,2016-11-14,2016-11-17,"Ottawa, Ontario, Canada",430.79,267.91,150.0,308.6,0.0,1157.3,New transaction captured only in Q4 2016-2017
33266,To attend the Assistant Deputy Ministers' meeting,2016-11-07,2016-11-09,"Ottawa, Ontario, Canada",469.89,210.85,100.0,257.05,0.0,1037.79,New transaction captured only in Q4 2016-2017
33316,To attend the Occupational Health and Safety Council meeting ,2016-06-07,2016-06-08,"Montréal, Quebec, Canada",0.0,213.06,177.31,130.4,0.0,520.77,Transaction captured in Q4 2016-2017 for previous period which were never disclosed in Open Canada 
33350,To attend meetings and events,2017-05-30,2017-05-31,"Toronto, Ontario, Canada",1270.99,45.0,0.0,81.15,0.0,1397.14,Updated information received in Q2 of 2017/18
33352,To attend meetings and events,2017-05-17,2017-05-18,"Montréal, Quebec, Canada",0.0,0.0,46.41,16.23,0.0,62.64,Updated information received in Q2 of 2017/18
33356,To accompany the minister to events,2017-05-30,2017-05-30,"Toronto, Ontario, Canada",725.98,236.87,0.0,35.2,30.0,1028.05,Updated information received in Q2 of 2017/18
33357,To accompany the minister to events,2017-05-17,2017-05-18,"Montréal, Quebec, Canada",0.0,23.96,46.41,25.42,9.4,105.19,Updated information received in Q2 of 2017/18
33361,Cancelled trip,2017-08-30,2017-09-02,"Halifax, Nova Scotia, Canada",441.7,0.0,0.0,0.0,0.0,441.7,Credit has been issued for future trip
33362,To accompany the minister to events,2017-08-22,2017-08-22,"Toronto, Ontario, Canada",226.11,146.55,0.0,18.05,0.0,390.71,The airfare amount is net of a travel credit of $226.14
33369,To accompany the minister to meetings,2017-01-16,2017-01-18,"Vancouver, British Columbia, Canada",1265.21,217.2,182.81,159.6,26.8,1851.62,Updated information received in Q2 of 2017/18
33382,To attend a meeting at National Headquarters,2017-05-10,2017-05-11,"Ottawa, Ontario, Canada",0.0,554.29,231.62,196.9,0.0,982.81,Updated information received in Q2 of 2017/18
33383,To attend a meeting at National Headquarters,2017-04-18,2017-04-19,"Ottawa, Ontario, Canada",0.0,75.59,185.06,196.9,0.0,457.55,Updated information received in Q2 of 2017/18
33384,To attend a meeting at National Headquarters,2017-04-10,2017-04-11,"Ottawa, Ontario, Canada",0.0,604.7,185.06,196.9,0.0,986.66,Updated information received in Q2 of 2017/18
33385,To attend meetings,2017-05-23,2017-05-25,"Vancouver, British Columbia, Canada",863.13,64.44,886.88,260.15,0.0,2074.6,Updated information received in Q2 of 2017/18
33388,Cancelled trip,2017-05-23,2017-05-25,"Ottawa, Ontario, Canada",356.33,0.0,0.0,0.0,0.0,356.33,Credit has been issued for future trip 
33400,Ministerial trip to attend meetings,2017-08-22,2017-08-22,"Ottawa, Ontario, Canada",1440.93,64.0,0.0,0.0,0.0,1504.93,Updated information received in Q3 of 2017/18
33401,Accompany the Minister,2017-06-01,2017-06-02,"Halifax, Nova Scotia, Canada",396.28,0.0,141.89,127.1,0.0,665.27,Updated information received in Q3 of 2017/18
33427,Cancelled trip,2017-03-31,2017-03-31,"Montréal, Quebec, Canada",68.98,0.0,0.0,0.0,0.0,68.98,Updated information received in Q3 of 2017/18
33429,To attend the Advisory Committee on Homelessness,2017-08-28,2017-08-29,"Winnipeg, Manitoba, Canada",769.39,23.0,152.54,17.15,0.0,962.08,Updated information received in Q3 of 2017/18
33430,To attend the Advisory Committee on Homelessness,2017-08-09,2017-08-09,"Halifax, Nova Scotia, Canada",956.76,78.2,186.51,17.15,0.0,1238.62,Updated information received in Q3 of 2017/18
33443,To attend meetings with stakeholders,2017-08-20,2017-08-23,"Montréal, Quebec, Canada",0.0,210.08,0.0,295.35,0.0,505.43,Updated information received in Q3 of 2017/18
33448,To attend meetings with Canadian Student Loans Program service provider,2017-05-18,2017-05-18,"Toronto, Ontario, Canada",801.35,43.4,0.0,35.2,0.0,879.95,Updated information received in Q3 of 2017/18
33454,To attend meeting with the Minister,2017-08-30,2017-08-31,"Calgary, Alberta, Canada",1269.22,154.39,206.58,161.7,0.0,1791.89,Updated information received in Q3 of 2017/18
33474,Trip cancelled,2017-08-17,2017-08-17,"Montréal, Quebec, Canada",0.0,0.0,217.3,0.0,0.0,217.3,Updated information received in Q3 of 2017/18
33476,Accompany the Minister,2017-08-28,2017-08-28,"Toronto, Ontario, Canada",328.97,114.48,0.0,35.2,0.0,478.65,Updated information received in Q3 of 2017/18
33481,Accompany the Minister,2017-08-29,2017-08-29,"Montréal, Quebec, Canada",0.0,252.32,0.0,63.1,0.0,315.42,Updated information received in Q3 of 2017/18
33485,Accompany the Minister,2017-08-22,2017-08-24,"Montréal, Quebec, Canada",0.0,347.02,674.73,209.15,0.0,1230.9,Updated information received in Q3 of 2017/18
33487,Accompany the Parliamentary Secretary,2017-08-27,2017-08-28,"Saskatoon, Saskatchewan, Canada",1120.99,95.16,181.78,99.2,0.0,1497.13,Updated information received in Q3 of 2017/18
33497,Accompany the Minister,2017-08-22,2017-08-24,"Montréal, Quebec, Canada",0.0,119.12,449.82,127.1,0.0,696.04,Updated information received in Q3 of 2017/18
33501,To attend meeting with the Minister,2017-08-30,2017-09-01,"Calgary, Alberta, Canada",953.18,88.75,189.73,161.7,0.0,1393.36,Updated information received in Q3 of 2017/18
33502,To attend meetings,2017-08-22,2017-08-22,"Toronto, Ontario, Canada",592.53,39.39,0.0,35.2,0.0,667.12,Updated information received in Q3 of 2017/18
33503,Cancelled trip,2017-07-26,2017-07-26,"Winnipeg, Manitoba, Canada",163.94,0.0,0.0,0.0,0.0,163.94,Credit has been issued for future trip 
33504,Site visits; To attend meeting with the Canadian Centre for Occupational Health and Safety,2017-07-18,2017-07-19,"Toronto, Ontario, Canada",708.64,109.2,185.61,150.95,0.0,1154.4,Updated information received in Q3 of 2017/18
33508,To attend meeting with Canadian Centre for Occupational Health and Safety,2017-06-27,2017-06-28,"Toronto, Ontario, Canada",59.04,46.0,168.37,34.6,0.0,308.01,The airfare amount is net of a travel credit of $481.66 
33510,To accompany the minister to events,2017-07-30,2017-08-01,"Vancouver, British Columbia, Canada",354.2,132.14,80.06,57.68,0.0,624.08,Updated information received in Q3 of 2017/18
33513,To attend meetings,2017-08-31,2017-09-01,"Calgary, Alberta, Canada",685.52,78.89,103.29,81.15,0.0,948.85,Updated information received in Q3 of 2017/18
33520,To attend meetings,2017-07-17,2017-07-19,"Ottawa, Ontario, Canada",453.39,0.0,0.0,0.0,0.0,453.39,The airfare amount is net of a travel credit of $532.37
33532,To attend the Service Canada Senior Executive meeting,2017-06-05,2017-06-09,"Ottawa, Ontario, Canada",1216.89,572.02,200.0,429.15,0.0,2418.06,Updated information received in Q3 of 2017/18
33545,To speak at the Social Innovation and Social Finance conference,2017-11-09,2017-11-10,"Toronto, Ontario, Canada",637.56,0.0,207.64,18.9,0.0,864.1,Updated information received in Q4 of 2017/18
33546,To do a speech on the Fall Economic Statement Update,2017-10-26,2017-10-27,"London, Ontario, Canada",844.53,29.9,157.07,113.8,0.0,1145.3,Updated information received in Q4 of 2017/18
33547,To do a speech on the Fall Economic Statement Update,2017-10-25,2017-10-25,"Toronto, Ontario, Canada",805.86,0.0,0.0,0.0,0.0,805.86,Updated information received in Q4 of 2017/18
33550,To make an announcement on Early Learning and Child Care; To speak at the Economic Club of Canada,2017-06-15,2017-06-16,"Toronto, Ontario, Canada",819.95,98.75,334.27,35.2,0.0,1288.17,"Updated information received in Q4 of 2017/18

The airfare amount is net of a travel credit of $99.44"
33551,Accompany the Minister,2017-11-21,2017-11-23,"Vancouver, British Columbia, Canada",1959.45,132.99,138.04,132.7,0.0,2363.18,Updated information received in Q4 of 2017/18
33554,To make an announcement on the National Housing Strategy,2017-11-22,2017-11-22,"Hamilton, Ontario, Canada",0.0,0.0,190.97,0.0,0.0,190.97,Updated information received in Q4 of 2017/18
33555,To Chair the Advisory Committee on Homelessness,2017-11-14,2017-11-17,"Calgary, Alberta, Canada",994.32,227.53,408.66,113.8,0.0,1744.31,Updated information received in Q4 of 2017/18
33556,To attend the National Conference on Ending Homelessness ,2017-10-25,2017-10-27,"Winnipeg, Manitoba, Canada",2238.22,106.09,413.88,47.35,0.0,2805.54,"Updated information received in Q4 of 2017/18

Credit has been issued for future trip "
33564,Cancelled trip,2017-11-19,2017-11-20,"Vancouver, British Columbia, Canada",1300.49,0.0,0.0,0.0,0.0,1300.49,"Updated information received in Q4 of 2017/18

Credit has been issued for future trip "
33567,Cancelled trip,2017-11-19,2017-11-20,"Vancouver, British Columbia, Canada",1300.49,0.0,0.0,0.0,0.0,1300.49,"Updated information received in Q4 of 2017/18

Credit has been issued for future trip"
33571,Accompany the Minister,2017-11-09,2017-11-10,"Toronto, Ontario, Canada",612.29,279.82,207.64,19.1,0.0,1118.85,Updated information received in Q4 of 2017/18
33572,Accompany the Minister,2017-07-13,2017-07-15,"Winnipeg, Manitoba, Canada",106.5,97.59,376.04,109.05,0.0,689.18,"Updated information received in Q4 of 2017/18

The airfare amount is net of a travel credit of $1,108.13"
33580,Accompany the Minister,2017-11-10,2017-11-10,"Toronto, Ontario, Canada",866.31,35.35,0.0,18.9,0.0,920.56,Updated information received in Q4 of 2017/18
33581,Accompany the Minister,2017-11-23,2017-11-23,"Montréal, Quebec, Canada",0.0,248.85,0.0,38.0,0.0,286.85,Updated information received in Q4 of 2017/18
33585,To attend the Canada Mortgage and Housing Corporation Board meeting,2017-11-03,2017-11-03,"Toronto, Ontario, Canada",425.7,10.64,0.0,19.1,0.0,455.44,Updated information received in Q4 of 2017/18
33589,To attend Learning Partnership Advisory Committee meeting,2017-11-27,2017-12-01,"Toronto, Ontario, Canada",0.0,243.09,0.0,0.0,0.0,243.09,Updated information received in Q4 of 2017/18
33590,To attend meeting with the Canadian Nursery and Landscape Association Committee; To attend meeting with the Canadian Manufacturers and Exporters Association ,2017-11-17,2017-11-24,"Toronto, Ontario, Canada",654.1,472.14,0.0,0.0,0.0,1126.24,Updated information received in Q4 of 2017/18
33596,To attend presentations on Marketing and Behavioural Economics at Woodsworth College,2017-11-30,2017-12-10,"Toronto, Ontario, Canada",648.68,140.0,149.64,119.95,0.0,1058.27,Updated information received in Q4 of 2017/18
33598,To attend meetings with stakeholders,2017-11-30,2017-12-01,"Toronto, Ontario, Canada",522.93,91.0,149.64,119.95,0.0,883.52,Updated information received in Q4 of 2017/18
33599,Site visits,2017-10-10,2017-10-14,"Edmonton, Alberta, Canada",857.22,183.01,251.56,372.6,0.0,1664.39,Updated information received in Q4 of 2017/18
33600,"To attend the Federal, Provincial and Territorial meeting on Social Services",2017-11-22,2017-11-23,"Halifax, Nova Scotia, Canada",505.21,188.23,174.78,81.95,0.0,950.17,Updated information received in Q4 of 2017/18
33602,To attend Forum of Labour Market Ministers' meetings; To attend meetings,2017-10-23,2017-10-25,"Regina, Saskatchewan, Canada",958.41,41.0,188.65,146.6,0.0,1334.66,Updated information received in Q4 of 2017/18
33628,To attend meetings with stakeholders,2017-11-25,2017-11-27,"Toronto, Ontario, Canada",215.78,26.0,511.25,121.75,0.0,874.78,Updated information received in Q4 of 2017/18
33631,To support the Deputy Minister during a Chinese Vice Minister's visit to Toronto,2017-11-27,2017-11-27,"Toronto, Ontario, Canada",864.0,90.46,0.0,18.9,0.0,973.36,Updated information received in Q4 of 2017/18
33633,To attend meeting with Canadian Centre for Occupational Health and Safety,2017-10-26,2017-10-26,"Toronto, Ontario, Canada",398.44,0.0,0.0,0.0,0.0,398.44,Updated information received in Q4 of 2017/18
33636,To accompany the Minister to events,2017-11-13,2017-11-14,"Calgary, Alberta, Canada",384.86,27.75,0.0,20.99,0.0,433.6,Updated information received in Q4 of 2017/18
33637,To accompany the Minister to events,2017-10-12,2017-10-14,"Calgary, Alberta, Canada",710.39,42.5,93.18,83.95,0.0,930.02,Updated information received in Q4 of 2017/18
33646,To accompany the Minister to events,2017-10-25,2017-10-29,"Calgary, Alberta, Canada",737.55,50.43,200.4,128.03,0.0,1116.41,Updated information received in Q4 of 2017/18
33651,Site visits,2017-11-30,2017-11-30,"Toronto, Ontario, Canada",498.54,172.21,0.0,85.35,0.0,756.1,Updated information received in Q4 of 2017/18
33653,To attend the National Operations Committee meeting,2017-09-13,2017-09-13,"Toronto, Ontario, Canada",628.28,86.68,0.0,81.15,0.0,796.11,Updated information received in Q4 of 2017/18
33670,To attend meetings,2017-10-26,2017-11-03,"Ottawa, Ontario, Canada",633.94,569.72,400.0,838.5,0.0,2442.16,Updated information received in Q4 of 2017/18
33684,Cancelled trip,2018-03-20,2018-03-22,"Vancouver, British-columbia, Canada",2245.18,0.0,0.0,0.0,0.0,2245.18,Credit has been issued for future trip 
33687,To make announcements on various files,2018-02-28,2018-03-03,"Winnipeg, Manitoba, Canada",2296.07,30.2,276.84,189.6,0.0,2792.71,Updated information received in Q1 of 2018/19
33691,Cancelled trip,2017-11-19,2017-11-20,"Vancouver, British-columbia, Canada",1336.28,0.0,0.0,0.0,0.0,1336.28,"Updated information received in Q1 of 2018/19

Credit has been issued for future trip "
33693,Ministerial trip to attend meetings,2017-07-18,2017-07-18,"Ottawa, Ontario, Canada",0.0,0.0,0.0,0.0,0.0,0.0,Updated information received in Q1 of 2018/19
33694,Ministerial trip to participate at the Annual Conference of the Federation of Canadian Municipalities,2017-06-03,2017-06-04,"Ottawa, Ontario, Canada",0.0,50.0,0.0,0.0,0.0,50.0,Updated information received in Q1 of 2018/19
33704,Accompany the Minister,2018-02-28,2018-03-02,"Winnipeg, Manitoba, Canada",2275.4,78.37,276.84,198.95,0.0,2829.56,Updated information received in Q1 of 2018/19
33712,Accompany the Minister,2018-01-09,2018-01-10,"Halifax, Nova Scotia, Canada",1103.95,148.12,139.59,85.35,9.2,1486.21,Updated information received in Q1 of 2018/19
33717,Accompany the Minister,2018-01-09,2018-01-10,"Halifax, Nova Scotia, Canada",1091.07,32.86,139.59,132.7,0.0,1396.22,Updated information received in Q1 of 2018/19
33726,To attend meeting with the Canadian Manufacturers and Exporters; To attend meetings,2018-02-15,2018-02-26,"Toronto, Ontario, Canada",704.39,264.55,0.0,0.0,0.0,968.94,Updated information received in Q1 of 2018/19
33736,To attend meeting with the National Joint Council,2018-02-20,2018-02-22,"Toronto, Ontario, Canada",794.76,82.85,461.68,51.9,0.0,1391.19,Updated information received in Q1 of 2018/19
33737,To attend meetings,2017-11-06,2017-11-10,"Winnipeg, Manitoba, Canada",1393.61,135.48,750.0,475.25,0.0,2754.34,Updated information received in Q1 of 2018/19
33749,Cabinet retreat,2018-01-10,2018-01-13,"London, Ontario, Canada",1055.95,86.98,481.12,123.55,0.0,1747.6,Updated information received in Q1 of 2018/19
33752,To attend departmental briefings; To attend meetings with stakeholders,2017-07-29,2017-08-02,"Ottawa, Ontario, Canada",941.22,0.0,0.0,0.0,0.0,941.22,Updated information received in Q1 of 2018/19
33775,To attend meeting with Canadian Centre for Occupational Health and Safety,2018-02-12,2018-02-14,"Hamilton, Ontario, Canada",0.0,556.08,322.48,129.3,0.0,1007.86,Updated information received in Q1 of 2018/19
33776,To attend a course with Chartered Professional Accountants of Ontario,2018-01-26,2018-01-26,"Toronto, Ontario, Canada",357.68,48.75,0.0,0.0,0.0,406.43,Updated information received in Q1 of 2018/19
33778,To attend events,2018-01-24,2018-01-26,"Toronto, Ontario, Canada",2052.58,0.0,452.89,53.16,0.0,2558.63,Updated information received in Q1 of 2018/19
33779,Canadian Heritage Southwest Ontario Tour,2018-01-08,2018-01-13,"Toronto, Ontario, Canada",3367.47,0.0,1016.75,263.06,240.0,4887.28,Updated information received in Q1 of 2018/19
33780,To attend meetings,2017-09-04,2017-09-06,"Vancouver, British Columbia, Canada",531.3,99.13,233.83,72.12,0.0,936.38,Updated information received in Q1 of 2018/19
33785,To accompany the Minister to events,2018-01-24,2018-01-26,"Toronto, Ontario, Canada",0.0,89.6,343.38,121.6,0.0,554.58,Updated information received in Q1 of 2018/19
33786,To accompany the Minister to events,2018-01-24,2018-01-26,"Toronto, Ontario, Canada",451.93,0.0,80.0,83.56,0.0,615.49,Updated information received in Q1 of 2018/19
33800,Cancelled trip,2018-03-05,2018-03-09,"Edmonton, Alberta, Canada",774.7,0.0,0.0,0.0,0.0,774.7,Credit has been issued for future trip
33803,Cancelled trip,2018-02-03,2018-02-08,"Vancouver, British Columbia, Canada",2090.11,0.0,0.0,0.0,0.0,2090.11,Credit has been issued for future trip
33812,To attend in-person business meeting,2018-02-19,2018-02-20,"Halifax, Nova Scotia, Canada",676.47,77.0,151.32,186.2,0.0,1090.99,Updated information received in Q1 of 2018/19
33813,To attend in-person business meeting at National Headquarters ,2018-02-12,2018-02-14,"Ottawa, Ontario, Canada",0.0,644.94,420.72,194.15,0.0,1259.81,Updated information received in Q1 of 2018/19
33814,To attend in-person business meeting at National Headquarters ,2017-12-10,2017-12-13,"Ottawa, Ontario, Canada",0.0,703.35,662.56,344.15,0.0,1710.06,Updated information received in Q1 of 2018/19
33815,To attend in-person business meeting,2017-10-23,2017-10-26,"Vancouver, British Columbia, Canada",1099.76,150.0,652.11,363.25,0.0,2265.12,Updated information received in Q1 of 2018/19
33816,To attend in-person business meeting at National Headquarters ,2017-07-05,2017-07-07,"Ottawa, Ontario, Canada",0.0,617.92,463.23,214.2,3.16,1298.51,Updated information received in Q1 of 2018/19
33822,To attend Service Standard review sessions ,2018-02-20,2018-02-21,"Toronto, Ontario, Canada",890.81,108.83,122.04,167.3,0.0,1288.98,Updated information received in Q1 of 2018/19
33823,To attend meetings,2018-02-12,2018-02-16,"Ottawa, Ontario, Canada",594.32,421.25,200.0,427.9,0.0,1643.47,Updated information received in Q1 of 2018/19
33824,To attend meetings; Site visits,2018-04-30,2018-05-02,"Ottawa, Ontario, Canada",2710.59,133.29,432.47,244.7,0.0,3521.05,Credit has been issued for future trip 
33831,To attend meetings,2018-02-26,2018-03-01,"Edmonton, Alberta, Canada",1024.38,123.6,501.84,286.85,0.0,1936.67,Updated information received in Q1 of 2018/19
33835,To attend meetings,2018-01-08,2018-01-11,"Ottawa, Ontario, Canada",1623.3,132.58,595.83,391.5,0.0,2743.21,Updated information received in Q1 of 2018/19
33836,To attend meetings,2017-12-10,2017-12-15,"Ottawa, Ontario, Canada",1623.3,132.56,1099.9,530.55,0.0,3386.31,Updated information received in Q1 of 2018/19
42620,To attend the Organisation for Economic Co-operation and Development’s Social Policy Forum,2018-05-13,2018-05-15,"Montréal, Quebec, Canada",561.15,72.0,515.58,135.2,0.0,1283.93,Trip amendment from Q1 of 2018/19
42622,Accompany the Minister,2018-05-13,2018-05-15,"Montréal, Quebec, Canada",0.0,222.56,515.58,202.55,0.0,940.69,Updated information received in Q2 of 2018/19
42633,Accompany the Parliamentary Secretary,2018-05-31,2018-06-02,"Halifax, Nova Scotia, Canada",1232.47,178.06,384.74,221.75,0.0,2017.02,Updated information received in Q2 of 2018/19
42646,Cancelled trip ,2018-05-24,2018-05-24,"Montréal, Quebec, Canada",0.0,144.64,0.0,0.0,0.0,144.64,Updated information received in Q2 of 2018/19
42650,To attend meeting with the Retail Council of Canada,2018-05-25,2018-06-03,"Toronto, Ontario, Canada",0.0,554.3,0.0,0.0,0.0,554.3,Updated information received in Q2 of 2018/19
42653,To attend meetings with stakeholders,2018-05-23,2018-05-24,"Montréal, Quebec, Canada",0.0,229.52,128.52,208.2,0.0,566.24,Updated information received in Q2 of 2018/19
42655,"To attend the Council of Ministers of Education, Canada meeting",2018-06-18,2018-06-19,"Toronto, Ontario, Canada",389.0,74.95,269.12,150.35,0.0,883.42,Trip amendment from Q2 of 2018/19
42657,To attend meetings with stakeholders,2018-04-12,2018-04-14,"Toronto, Ontario, Canada",428.72,24.7,0.0,0.0,0.0,453.42,Updated information received in Q2 of 2018/19
42658,To attend the 52nd Annual Canadian Economics Association conference,2018-05-31,2018-06-02,"Montréal, Quebec, Canada",0.0,271.4,652.12,121.4,0.0,1044.92,Updated information received in Q2 of 2018/19
42662,To attend meeting with the Organisation for Economic Co-operation and Development ministerial meeting on Social Policy ,2018-05-13,2018-05-15,"Montréal, Quebec, Canada",0.0,228.78,518.94,187.1,0.0,934.82,Updated information received in Q2 of 2018/19
42672,To meet with Canadian Pacific Rail and union representatives,2018-05-24,2018-05-26,"Calgary, Alberta, Canada",1643.95,0.0,446.84,221.75,0.0,2312.54,Updated information received in Q2 of 2018/19
42679,Accompany the Minister,2018-05-24,2018-05-26,"Calgary, Alberta, Canada",977.32,88.21,446.84,221.75,0.0,1734.12,Updated information received in Q2 of 2018/19
42687,Accompany the Minister,2018-05-24,2018-05-26,"Calgary, Alberta, Canada",977.32,217.36,446.84,221.75,0.0,1863.27,Updated information received in Q2 of 2018/19
42692,Accompany the Minister,2018-07-18,2018-07-19,"Montréal, Quebec, Canada",0.0,42.0,183.26,67.35,0.0,292.61,Updated information received in Q3 of 2018/19
42694,To attend the Canadian Association of Administrators of Labour Legislation annual meeting ,2018-05-23,2018-05-24,"Vancouver, British Columbia, Canada",922.8,122.8,303.03,101.95,0.0,1450.58,Updated information received in Q2 of 2018/19
42713,To attend in-person business meeting at National Headquarters ,2018-05-29,2018-06-01,"Ottawa, Ontario, Canada",0.0,680.65,701.58,396.95,0.0,1779.18,Updated information received in Q2 of 2018/19
42714,To attend in-person business meeting at National Headquarters ,2018-04-30,2018-05-01,"Ottawa, Ontario, Canada",0.0,637.93,225.67,171.45,0.0,1035.05,Updated information received in Q2 of 2018/19
42715,To attend the Service Canada Senior Executive meetings,2018-05-28,2018-06-04,"Ottawa, Ontario, Canada",1181.8,550.12,350.0,813.35,0.0,2895.27,Updated information received in Q2 of 2018/19
42716,To attend in-person business meeting at National Headquarters ,2018-04-22,2018-04-25,"Ottawa, Ontario, Canada",0.0,730.44,595.82,396.95,0.0,1723.21,Updated information received in Q2 of 2018/19
42717,To attend in-person business meeting at National Headquarters ,2018-04-09,2018-04-11,"Ottawa, Ontario, Canada",0.0,701.02,397.22,292.85,0.0,1391.09,Updated information received in Q2 of 2018/19
42724,To attend in-person business meeting at National Headquarters ,2018-05-14,2018-05-16,"Ottawa, Ontario, Canada",787.62,319.92,246.34,225.5,0.0,1579.38,Updated information received in Q2 of 2018/19
42730,To attend meetings,2018-05-27,2018-06-09,"Ottawa, Ontario, Canada",2116.8,258.6,2707.28,1256.05,0.0,6338.73,Updated information received in Q2 of 2018/19
42734,Cancelled trip,2018-06-01,2018-06-01,"Montréal, Quebec, Canada",157.1,0.0,0.0,0.0,0.0,157.1,"Credit has been issued for future trip

Updated information received in Q3 of 2018/19"
42743,To attend Housing and homelessness roundtable ,2018-07-10,2018-07-10,"Hamilton, Ontario, Canada",0.0,73.05,0.0,0.0,0.0,73.05,Updated information received in Q3 of 2018/19
42746,To attend the Co-operative Housing Federation of Canada ,2018-06-08,2018-06-11,"Victoria, British Columbia, Canada",1474.98,214.31,442.86,115.75,0.0,2247.9,Updated information received in Q3 of 2018/19
42748,To attend the Federation of Canadian Municipalities Annual Conference and other meetings ,2018-05-31,2018-06-02,"Halifax, Nova Scotia, Canada",1232.47,135.57,384.74,19.45,0.0,1772.23,Updated information received in Q3 of 2018/19
42749,To speak at the Habitat for Humanity Annual Conference,2018-05-09,2018-05-10,"Hamilton, Ontario, Canada",246.15,163.11,149.64,19.2,0.0,578.1,"The airfare amount is net of a travel credit of $683.31

Updated information received in Q3 of 2018/19"
