,purpose_en,start_date,end_date,destination_en,airfare,other_transport,lodging,meals,other_expenses,total,additional_comments_en
5958,"To attend ""The World Needs Dialogue"" conference",2018-10-12,2018-10-18,"London, United Kingdom",1045.44,463.21,283.31,471.84,0.0,2263.8,Amendment; Additional Kilometric allowances included after reporting period ended.
5960,Parking for attendance at Character Based Leadership event,2018-11-14,2018-11-14,"Ottawa, Ontario, Canada",0.0,0.0,0.0,0.0,12.0,12.0,Amendment; Travel claim submitted after reporting period ended.
5966,To attend the Executive Forum and visit to Calgary Regional Office,2019-05-22,2019-05-24,"Calgary, Alberta, Canada",931.49,0.0,437.84,214.3,0.0,1583.63,Amendment; HRG fee added.
5975,To attend the Executive Forum and a regional Pacific visit,2019-05-21,2019-05-24,"Vancouver, British Columbia, Canada",1055.77,156.46,912.99,322.85,67.8,2515.87,Amendment
5981,To attend the Northern Border Tribunal Alliance and Southern Ontario Region for Functional Management Meeting/ Commercial and Trade Branch Implementation,2019-05-08,2019-05-10,"Niagara Falls, Ontario, Canada",777.44,80.56,237.2,264.95,0.0,1360.15,Amendment; Incidental allowance added.
5985,To attend the Executive forum and tour several different locations in the Pacific Region,2019-05-20,2019-05-24,"Vancouver, British Columbia, Canada",1327.16,90.25,912.99,322.85,33.9,2687.15,The airfare was amended.
5991,To attend the Migration Five Deputy Head meeting - Trip cancelled,2019-03-24,2019-03-27,"London, United Kingdom",88.14,0.0,0.0,0.0,0.0,88.14,HRG fees
5997,To visit the Halifax region and speak at the Halifax International airport,2018-05-22,2018-05-25,"Halifax, Nova Scotia, Canada",876.6,0.0,700.29,310.4,0.0,1887.29,Amendment; HRG fees adjusted.
5998,To visit Pacific Region as part of a cross country tour - Trip cancelled,2018-04-24,2018-04-24,"Vancouver, British Columbia, Canada",470.45,0.0,0.0,0.0,0.0,470.45,Amendment; HRG fees adjusted.
5999,Trip Cancelled,2018-05-07,2018-05-11,"Toronto, Ontario, Canada",194.36,0.0,0.0,0.0,0.0,194.36,Amendment; HRG fees adjusted.
6001,To attend a conference on behalf of the President,2018-08-09,2018-08-10,"Halifax, Nova Scotia, Canada",707.83,105.6,222.23,0.0,0.0,1035.66,Amendment; HRG fees adjusted.
